id,code,name,start_date
waybill_producto_stcc_208,233,"Ropa para mujeres, ni\xc3\xb1as y bebes",2021-06-01
waybill_producto_stcc_209,235,"Sombrereria, sombreros y gorras",2021-06-01
waybill_producto_stcc_210,237,Articulos de piel,2021-06-01
waybill_producto_stcc_211,238,Ropa y accesorios miscelaneos,2021-06-01
waybill_producto_stcc_212,239,Textil fabricado miscelaneo,2021-06-01
waybill_producto_stcc_213,24,Madera y productos de madera,2021-06-01
waybill_producto_stcc_214,241,Productos forestales primarios,2021-06-01
waybill_producto_stcc_215,24114,Troncos de madera para pasta,2021-06-01
waybill_producto_stcc_216,24115,Astillas de madera,2021-06-01
waybill_producto_stcc_217,24116,"Postes, postes y pilotes de madera",2021-06-01
waybill_producto_stcc_218,242,Aserradero y cepillado prd,2021-06-01
waybill_producto_stcc_219,2421,Stock de madera y dimensiones,2021-06-01
waybill_producto_stcc_220,24212,Corbatas aserradas,2021-06-01
waybill_producto_stcc_221,2429,Varios aserradores y plng mill prd,2021-06-01
waybill_producto_stcc_222,243,"Carpinteria, chapa, madera contrachapada",2021-06-01
waybill_producto_stcc_223,2431,Carpinteria,2021-06-01
waybill_producto_stcc_224,2432,Chapa y madera contrachapada,2021-06-01
waybill_producto_stcc_225,244,Contenedores de madera,2021-06-01
waybill_producto_stcc_226,249,Productos de madera diversos,2021-06-01
waybill_producto_stcc_227,2491,Madera creosotada o tratada con aceite,2021-06-01
waybill_producto_stcc_228,25,Muebles y Accesorios,2021-06-01
waybill_producto_stcc_229,251,Mobiliario de hogar y oficina,2021-06-01
waybill_producto_stcc_230,253,Edificio publico y mobiliario rltd,2021-06-01
waybill_producto_stcc_231,254,"Tabiques, estanterias, taquillas",2021-06-01
waybill_producto_stcc_232,259,Mobiliario y accesorios varios,2021-06-01
waybill_producto_stcc_233,26,Productos de pulpa y papel,2021-06-01
waybill_producto_stcc_234,261,Productos de pulpa y plantas de celulosa,2021-06-01
waybill_producto_stcc_235,26111,Pulpa,2021-06-01
waybill_producto_stcc_236,262,"Papel, excepto papel de construccion",2021-06-01
waybill_producto_stcc_237,26211,Papel prensa,2021-06-01
waybill_producto_stcc_238,26212,"Papel para madera molida, sin revestimiento",2021-06-01
waybill_producto_stcc_239,26213,Papel para imprimir,2021-06-01
waybill_producto_stcc_240,26214,Papel de regalo,2021-06-01
waybill_producto_stcc_241,26217,Papel industrial especial,2021-06-01
waybill_producto_stcc_242,26218,Stock de tejido sanitario,2021-06-01
waybill_producto_stcc_243,263,"Carton, pulpbrd y fiberbrd",2021-06-01
waybill_producto_stcc_244,264,Papel y papel convertidos brd prd,2021-06-01
waybill_producto_stcc_245,2643,Bolsas de papel,2021-06-01
waybill_producto_stcc_246,26471,Tejidos sanitarios / salud prd,2021-06-01
waybill_producto_stcc_247,265,Envases de carton,2021-06-01
waybill_producto_stcc_248,266,Papel de construccion y carton para edificios,2021-06-01
waybill_producto_stcc_249,26613,Tablero,2021-06-01
