"id","code","name","class_div","danger_sec","start_date"
"waybill_materiales_peligrosos_150","0276","CARTUCHOS DE ACCIONAMIENTO","1.4C",,2021-12-01
"waybill_materiales_peligrosos_151","0277","CARTUCHOS PARA PERFORACIÓN DE  POZOS PETROLÍFEROS","1.3C",,2021-12-01
"waybill_materiales_peligrosos_152","0278","CARTUCHOS PARA PERFORACIÓN DE  POZOS PETROLÍFEROS","1.4C",,2021-12-01
"waybill_materiales_peligrosos_153","0279","CARGAS PROPULSORAS DE ARTILLERIA","1.1C",,2021-12-01
"waybill_materiales_peligrosos_154","0280","MOTORES DE COHETE","1.1C",,2021-12-01
"waybill_materiales_peligrosos_155","0281","MOTORES DE COHETE","1.2C",,2021-12-01
"waybill_materiales_peligrosos_156","0282","NITROGUANIDINA (PICRITA) seca o humedecida con menos de 20%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_157","0283","PETARDOS MULTIPLICADORES (CARTUCHOS) sin detonador","1.2D",,2021-12-01
"waybill_materiales_peligrosos_158","0284","GRANADAS de mano o de fusil, con carga explosiva","1.1D",,2021-12-01
"waybill_materiales_peligrosos_159","0285","GRANADAS de mano o de fusil, con carga explosiva","1.2D",,2021-12-01
"waybill_materiales_peligrosos_160","0286","CABEZAS DE COMBATE PARA COHETES, con carga explosiva","1.1D",,2021-12-01
"waybill_materiales_peligrosos_161","0287","CABEZAS DE COMBATE PARA COHETES, con carga explosiva","1.2D",,2021-12-01
"waybill_materiales_peligrosos_162","0288","MECHA DETONANTE PERFILADA  FLEXIBLE","1.1D",,2021-12-01
"waybill_materiales_peligrosos_163","0289","MECHA DETONANTE flexible","1.4D",,2021-12-01
"waybill_materiales_peligrosos_164","0290","CORDON (MECHA) DETONANTE con recubrimiento metálico","1.1D",,2021-12-01
"waybill_materiales_peligrosos_165","0291","BOMBAS con carga explosiva","1.2F",,2021-12-01
"waybill_materiales_peligrosos_166","0292","GRANADAS de mano o de fusil, con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_167","0293","GRANADAS de mano o de fusil, con carga explosiva","1.2F",,2021-12-01
"waybill_materiales_peligrosos_168","0294","MINAS con carga explosiva","1.2F",,2021-12-01
"waybill_materiales_peligrosos_169","0295","COHETES con carga explosiva","1.2F",,2021-12-01
"waybill_materiales_peligrosos_170","0296","CARGAS EXPLOSIVAS PARA SONDEOS ","1.1F",,2021-12-01
"waybill_materiales_peligrosos_171","0297","MUNICIONES DE LUMINACIÓN con o sin carga detonante, carga expulsora o carga propulsora","1.4G",,2021-12-01
"waybill_materiales_peligrosos_172","0299","BOMBAS DE LUMINACIÓN PARA FOTOGRAFIA","1.3G",,2021-12-01
"waybill_materiales_peligrosos_173","0300","MUNICIONES INCENDIARIAS con o sin carga detonante, carga expulsora o carga propulsora","1.4G",,2021-12-01
"waybill_materiales_peligrosos_174","0301","MUNICIONES LACRIMOGENAS con carga detonante, carga expulsora o carga propulsora","1.4G","6.1 8",2021-12-01
"waybill_materiales_peligrosos_175","0303","MUNICIONES FUMIGENAS con o sin carga detonante, carga expulsora o carga propulsora","1.4G",,2021-12-01
"waybill_materiales_peligrosos_176","0305","POLVORA DE DESTELLOS","1.3G",,2021-12-01
"waybill_materiales_peligrosos_177","0306","TRAZADORES PARA MUNICIONES","1.4G",,2021-12-01
"waybill_materiales_peligrosos_178","0312","CARTUCHOS DE SEÑALES","1.4G",,2021-12-01
"waybill_materiales_peligrosos_179","0313","SEÑALES FUMIGENAS","1.2G",,2021-12-01
"waybill_materiales_peligrosos_180","0314","ENCENDEDORES","1.2G",,2021-12-01
"waybill_materiales_peligrosos_181","0315","ENCENDEDORES","1.3G",,2021-12-01
"waybill_materiales_peligrosos_182","0316","ESPOLETAS DE IGNICION","1.3G",,2021-12-01
"waybill_materiales_peligrosos_183","0317","ESPOLETAS DE IGNICION","1.4G",,2021-12-01
"waybill_materiales_peligrosos_184","0318","GRANADAS DE EJERCICIOS, de mano o de fusil","1.3G",,2021-12-01
"waybill_materiales_peligrosos_185","0319","CEBOS TUBULARES","1.3G",,2021-12-01
"waybill_materiales_peligrosos_186","0320","CEBOS TUBULARES","1.4G",,2021-12-01
"waybill_materiales_peligrosos_187","0321","CARTUCHOS PARA ARMAS, con carga explosiva","1.2E",,2021-12-01
"waybill_materiales_peligrosos_188","0322","MOTORES DE COHETE CON LIQUIDOS HIPERGOLICOS, con o sin carga expulsora","1.2L",,2021-12-01
"waybill_materiales_peligrosos_189","0323","CARTUCHOS DE ACCIONAMIENTO","1.4S",,2021-12-01
"waybill_materiales_peligrosos_190","0324","PROYECTILES con carga explosiva","1.2F",,2021-12-01
"waybill_materiales_peligrosos_191","0325","ENCENDEDORES","1.4G",,2021-12-01
"waybill_materiales_peligrosos_192","0326","CARTUCHOS PARA ARMAS, SIN BALA","1.1C",,2021-12-01
"waybill_materiales_peligrosos_193","0327","CARTUCHOS PARA ARMAS, SIN BALA, o (CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE, SIN BALA)","1.3C",,2021-12-01
