id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_133,03,EA014,Gobernador Francisco Gabrielli,Argentina,MDZ,,2021-06-01
waybill_complemento_estacion_134,03,EA015,Teniente General Benjamin Matienzo,Argentina,TUC,,2021-06-01
waybill_complemento_estacion_135,03,EA016,Vienna,Austria,VIE,,2021-06-01
waybill_complemento_estacion_136,03,EA017,Grand Bahamas,Bahamas,FPO,,2021-06-01
waybill_complemento_estacion_137,03,EA018,Lynden Pindling,Bahamas,NAS,,2021-06-01
waybill_complemento_estacion_138,03,EA019,San Salvador,Bahamas,ZSA,,2021-06-01
waybill_complemento_estacion_139,03,EA020,Grantley Adams,Barbados,BGI,,2021-06-01
waybill_complemento_estacion_140,03,EA021,Brussels,Belgica,BRU,,2021-06-01
waybill_complemento_estacion_141,03,EA022,Liege,Belgica,LGG,,2021-06-01
waybill_complemento_estacion_142,03,EA023,Ostend-Brugge,Belgica,OST,,2021-06-01
waybill_complemento_estacion_143,03,EA024,Philip S.W. Goldson,Belice,BZE,,2021-06-01
waybill_complemento_estacion_144,03,EA025,Jorge Wilsterman,Bolivia,CBB,,2021-06-01
waybill_complemento_estacion_145,03,EA026,El Trompillo,Bolivia,SRZ,,2021-06-01
waybill_complemento_estacion_146,03,EA027,Viru Viru,Bolivia,VVI,,2021-06-01
waybill_complemento_estacion_147,03,EA028,Presidente Juscelino Kubitschek,Brasil,BSB,,2021-06-01
waybill_complemento_estacion_148,03,EA029,Adalberto Mendes Da Silva,Brasil,CAC,,2021-06-01
waybill_complemento_estacion_149,03,EA030,Carutapera,Brasil,CTP,,2021-06-01
waybill_complemento_estacion_150,03,EA031,Afonso Pena,Brasil,CWB,,2021-06-01
waybill_complemento_estacion_151,03,EA032,Pinto Martins,Brasil,FOR,,2021-06-01
waybill_complemento_estacion_152,03,EA033,Antonio Carlos Jobim,Brasil,GIG,,2021-06-01
waybill_complemento_estacion_153,03,EA034,Governador Andre Franco Montoro,Brasil,GRU,,2021-06-01
waybill_complemento_estacion_154,03,EA035,Manaus,Brasil,MAO,,2021-06-01
waybill_complemento_estacion_155,03,EA036,Santos Dumont,Brasil,PNG,,2021-06-01
waybill_complemento_estacion_156,03,EA037,Salgado Filho,Brasil,POA,,2021-06-01
waybill_complemento_estacion_157,03,EA038,Guararapes,Brasil,REC,,2021-06-01
waybill_complemento_estacion_158,03,EA039,Santos Dumont,Brasil,SDU,,2021-06-01
waybill_complemento_estacion_159,03,EA040,Professor Urbano Ernesto Stumpf,Brasil,SJK,,2021-06-01
